source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-03,40.4375,-3.6875,Europe/Madrid,30.0,15.6,23.3,0.0,0.0,0.0,12.7
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-04,40.4375,-3.6875,Europe/Madrid,28.0,19.0,23.4,0.0,0.0,0.0,15.5
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-05,40.4375,-3.6875,Europe/Madrid,27.4,13.3,20.7,0.0,0.0,0.0,13.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-06,40.4375,-3.6875,Europe/Madrid,29.3,16.5,23.0,0.0,0.0,0.0,6.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-07,40.4375,-3.6875,Europe/Madrid,31.5,18.1,25.3,0.0,0.0,0.0,8.2
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-08,40.4375,-3.6875,Europe/Madrid,32.8,19.1,26.3,0.0,0.0,0.0,13.4
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-09,40.4375,-3.6875,Europe/Madrid,31.9,17.6,25.0,0.0,0.0,0.0,14.0
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-10,40.4375,-3.6875,Europe/Madrid,29.9,16.4,23.5,0.0,0.0,0.0,14.3
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-11,40.4375,-3.6875,Europe/Madrid,31.0,15.6,23.6,0.0,0.0,0.0,15.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-12,40.4375,-3.6875,Europe/Madrid,32.9,18.7,25.9,0.0,0.0,0.0,12.2
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-13,40.4375,-3.6875,Europe/Madrid,33.0,20.0,26.8,0.0,0.0,0.0,9.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-14,40.4375,-3.6875,Europe/Madrid,33.2,21.1,27.1,0.5,0.0,0.0,15.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-15,40.4375,-3.6875,Europe/Madrid,31.1,19.2,25.2,0.0,0.0,0.0,7.4
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-16,40.4375,-3.6875,Europe/Madrid,32.3,19.3,26.0,0.0,0.0,0.0,9.3
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-17,40.4375,-3.6875,Europe/Madrid,34.3,20.5,27.9,0.0,0.0,0.0,10.1
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-18,40.4375,-3.6875,Europe/Madrid,34.4,20.9,27.9,0.0,0.0,0.0,9.8
